movie_company,rating,western_violent_movie
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.8,Where the Wild Things Are
20th Century Fox,6.8,Where the Wild Things Are
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,5.4,Whiteout
20th Century Fox,5.4,Whiteout
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,5.6,The Reaping
20th Century Fox,5.3,The Pink Panther
20th Century Fox,5.3,The Pink Panther
20th Century Fox,5.3,The Pink Panther
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.0,The Sentinel
20th Century Fox,5.6,The Reaping
20th Century Fox,7.0,The Secret Life of Bees
20th Century Fox,7.0,The Secret Life of Bees
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.8,Tristan + Isolde
20th Century Fox,6.8,Tristan + Isolde
20th Century Fox,6.8,Tristan + Isolde
20th Century Fox,6.8,Tristan + Isolde
20th Century Fox,6.8,Tristan + Isolde
20th Century Fox,6.8,Tristan + Isolde
20th Century Fox,7.0,The Secret Life of Bees
20th Century Fox,6.8,X-Men: The Last Stand
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.3,The Fountain
20th Century Fox,7.7,The Last King of Scotland
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.1,The Happening
20th Century Fox,5.1,The Happening
20th Century Fox,5.1,The Happening
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,7.8,The Hangover
20th Century Fox,7.8,The Hangover
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.4,The Day the Earth Stood Still
20th Century Fox,5.0,The Final Destination
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,6.4,The Hills Have Eyes
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,6.8,The Brave One
20th Century Fox,6.8,The Brave One
20th Century Fox,6.8,The Brave One
20th Century Fox,7.3,The Fountain
20th Century Fox,6.4,The Hills Have Eyes
20th Century Fox,7.7,The Last King of Scotland
20th Century Fox,7.7,The Last King of Scotland
20th Century Fox,7.7,The Last King of Scotland
20th Century Fox,6.4,The Hills Have Eyes
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,6.6,Australia
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,7.8,Apocalypto
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,8.0,Avatar
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,7.8,Apocalypto
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,8.0,Avatar
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,8.0,Avatar
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.5,12 Rounds
20th Century Fox,8.0,Avatar
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,6.6,Australia
20th Century Fox,8.0,Avatar
20th Century Fox,7.8,Apocalypto
20th Century Fox,6.6,Australia
20th Century Fox,8.0,Avatar
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,6.6,Australia
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,6.6,Australia
20th Century Fox,8.0,Avatar
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,5.5,Fool's Gold
20th Century Fox,2.3,Epic Movie
20th Century Fox,2.3,Epic Movie
20th Century Fox,2.3,Epic Movie
20th Century Fox,2.3,Epic Movie
20th Century Fox,5.9,Jumper
20th Century Fox,5.9,Jumper
20th Century Fox,5.9,Jumper
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,7.1,I Am Legend
20th Century Fox,5.3,Pathfinder
20th Century Fox,6.1,Lakeview Terrace
20th Century Fox,6.2,Hitman
20th Century Fox,6.2,Hitman
20th Century Fox,6.2,Hitman
20th Century Fox,6.2,Hitman
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,3.8,One Missed Call
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,3.8,One Missed Call
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,6.3,Married Life
20th Century Fox,6.9,Orphan
20th Century Fox,6.9,Orphan
20th Century Fox,6.2,Hitman
20th Century Fox,5.3,Pathfinder
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,5.3,Pathfinder
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.4,Harry Potter and the Half-Blood Prince
20th Century Fox,7.4,Harry Potter and the Half-Blood Prince
20th Century Fox,5.3,Pathfinder
20th Century Fox,5.3,Pathfinder
20th Century Fox,5.3,Pathfinder
20th Century Fox,6.9,Orphan
20th Century Fox,6.9,Orphan
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,7.3,Live Free or Die Hard
20th Century Fox,6.2,Hitman
20th Century Fox Australia,6.2,Hitman
20th Century Fox Australia,6.2,Hitman
20th Century Fox Australia,6.2,Hitman
20th Century Fox Australia,6.1,Lions for Lambs
20th Century Fox Australia,6.1,Lions for Lambs
20th Century Fox Australia,4.0,Basic Instinct 2
20th Century Fox Australia,4.0,Basic Instinct 2
20th Century Fox Australia,5.6,Jimmy and Judy
20th Century Fox Australia,5.6,Jimmy and Judy
20th Century Fox Australia,5.6,Jimmy and Judy
20th Century Fox Australia,5.1,Jennifer's Body
20th Century Fox Australia,7.3,The Fountain
20th Century Fox Australia,5.4,The Day the Earth Stood Still
20th Century Fox Australia,5.4,The Day the Earth Stood Still
20th Century Fox Australia,7.3,The Fountain
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Brazil,5.4,Babylon A.D.
20th Century Fox Brazil,5.4,Babylon A.D.
20th Century Fox Brazil,5.4,The Day the Earth Stood Still
20th Century Fox de Argentina,4.6,The Marine
20th Century Fox de Argentina,7.7,The Last King of Scotland
20th Century Fox de Argentina,5.4,The Day the Earth Stood Still
20th Century Fox de Argentina,6.4,The Hills Have Eyes
20th Century Fox de Argentina,6.4,The Hills Have Eyes
20th Century Fox de Argentina,7.3,The Fountain
20th Century Fox de Argentina,7.3,The Fountain
20th Century Fox de Argentina,6.4,The Hills Have Eyes
20th Century Fox de Argentina,5.1,The Happening
20th Century Fox de Argentina,7.7,The Last King of Scotland
20th Century Fox de Argentina,4.6,The Marine
20th Century Fox de Argentina,4.6,The Marine
20th Century Fox de Argentina,6.1,Lions for Lambs
20th Century Fox de Argentina,6.1,Lions for Lambs
20th Century Fox de Argentina,6.2,Hitman
20th Century Fox de Argentina,6.2,Hitman
20th Century Fox de Argentina,6.2,Hitman
20th Century Fox de Argentina,5.3,Pathfinder
20th Century Fox de Argentina,5.3,Pathfinder
20th Century Fox de Argentina,5.3,Max Payne
20th Century Fox de Argentina,7.3,Live Free or Die Hard
20th Century Fox de Argentina,7.3,Live Free or Die Hard
20th Century Fox de Argentina,7.3,Live Free or Die Hard
20th Century Fox de Argentina,5.3,Max Payne
20th Century Fox de Argentina,6.2,Love in the Time of Cholera
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.3,Sunshine
20th Century Fox de Argentina,5.4,The Omen
20th Century Fox de Argentina,7.3,Sunshine
20th Century Fox de Argentina,6.8,Street Kings
20th Century Fox de Argentina,5.0,Shutter
20th Century Fox de Argentina,6.8,Street Kings
20th Century Fox de Argentina,6.8,Street Kings
20th Century Fox de Argentina,7.9,Taken
20th Century Fox de Argentina,7.9,Taken
20th Century Fox de Argentina,7.9,Taken
20th Century Fox de Argentina,5.4,The Omen
20th Century Fox de Argentina,6.0,Mirrors
20th Century Fox de Argentina,7.2,Rocky Balboa
20th Century Fox de Argentina,5.2,My Super Ex-Girlfriend
20th Century Fox de Argentina,6.0,Mirrors
20th Century Fox de Argentina,5.3,The Pink Panther
20th Century Fox de Argentina,6.0,The Sentinel
20th Century Fox de Argentina,6.8,X-Men: The Last Stand
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,7.0,The Secret Life of Bees
20th Century Fox de Argentina,7.4,The Simpsons Movie
20th Century Fox de Argentina,5.8,The X Files: I Want to Believe
20th Century Fox de Argentina,7.3,Wristcutters: A Love Story
20th Century Fox de Argentina,5.8,The X Files: I Want to Believe
20th Century Fox de Argentina,6.0,The Sentinel
20th Century Fox de Argentina,5.6,4: Rise of the Silver Surfer
20th Century Fox de Argentina,6.6,Australia
20th Century Fox de Argentina,7.8,Apocalypto
20th Century Fox de Argentina,5.4,Babylon A.D.
20th Century Fox de Argentina,5.4,Babylon A.D.
20th Century Fox de Argentina,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox de Argentina,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox de Argentina,6.6,Australia
20th Century Fox de Argentina,5.6,4: Rise of the Silver Surfer
20th Century Fox de Argentina,5.6,Bandidas
20th Century Fox de Argentina,7.8,Apocalypto
20th Century Fox de Argentina,7.8,Apocalypto
20th Century Fox de Argentina,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox de Argentina,3.1,Dragonball Evolution
20th Century Fox de Argentina,3.1,Dragonball Evolution
20th Century Fox de Argentina,2.3,Epic Movie
20th Century Fox de Argentina,2.3,Epic Movie
20th Century Fox de Argentina,5.9,Jumper
20th Century Fox de Argentina,5.1,Jennifer's Body
20th Century Fox de Chile,5.4,The Day the Earth Stood Still
20th Century Fox de Chile,3.1,Dragonball Evolution
20th Century Fox de Chile,3.1,Dragonball Evolution
20th Century Fox de Venezuela,6.8,X-Men: The Last Stand
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,7.4,The Simpsons Movie
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox de Venezuela,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox de Venezuela,4.7,AVPR: Aliens vs Predator - Requiem
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox Home Entertainment,4.0,Asylum
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,7.0,Charlie Bartlett
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,5.6,4: Rise of the Silver Surfer
20th Century Fox Home Entertainment,7.8,Apocalypto
20th Century Fox Home Entertainment,7.8,Apocalypto
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,5.6,4: Rise of the Silver Surfer
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,7.8,Apocalypto
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,7.1,John Rabe
20th Century Fox Home Entertainment,7.1,John Rabe
20th Century Fox Home Entertainment,5.9,Jumper
20th Century Fox Home Entertainment,6.7,Quantum of Solace
20th Century Fox Home Entertainment,6.7,Quantum of Solace
20th Century Fox Home Entertainment,6.6,Severance
20th Century Fox Home Entertainment,6.0,Mirrors
20th Century Fox Home Entertainment,6.0,Mirrors
20th Century Fox Home Entertainment,6.0,Mirrors
20th Century Fox Home Entertainment,6.3,Rampage
20th Century Fox Home Entertainment,6.3,Rampage
20th Century Fox Home Entertainment,5.2,My Super Ex-Girlfriend
20th Century Fox Home Entertainment,6.0,Mirrors
20th Century Fox Home Entertainment,6.0,Mirrors
20th Century Fox Home Entertainment,6.0,Mirrors
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,5.3,Pathfinder
20th Century Fox Home Entertainment,7.3,Live Free or Die Hard
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,6.2,Hitman
20th Century Fox Home Entertainment,5.3,Pathfinder
20th Century Fox Home Entertainment,6.3,Married Life
20th Century Fox Home Entertainment,6.2,Hitman
